County,FIPS,School ID
Appling County,13001, 601
Atkinson County,13003, 602
Bacon County,13005, 603
Baker County,13007, 604
Baldwin County,13009, 605
Banks County,13011, 606
Barrow County,13013, 607
Bartow County,13015, 608
Ben Hill County,13015, 609
Berrien County,13017, 610
Bibb County,13019, 611
Bleckley County,13021, 612
Brantley County,13021, 613
Brooks County,13021, 614
Bryan County,13023, 615
Bulloch County,13025, 616
Burke County,13027, 617
Butts County,13029, 618
Calhoun County,13031, 619
Camden County,13031, 620
Candler County,13031, 621
Carroll County,13033, 622
Catoosa County,13035, 623
Charlton County,13037, 624
Chatham County,13037,N/A
Chattahoochee County,13039, 626
Chattooga County,13043, 627
Cherokee County,13045, 628
Clarke County,13045, 629
Clay County,13047, 630
Clayton County,13049, 631
Clinch County,13051, 632
Cobb County,13053, 633
Coffee County,13055, 634
Colquitt County,13055, 635
Columbia County,13057, 636
Cook County,13057, 637
Coweta County,13059, 638
Crawford County,13059, 639
Crisp County,13059, 640
Dade County,13061, 641
Dawson County,13063, 642
Decatur County,13063, 643
DeKalb County,13063, 644
Dodge County,13063, 645
Dooly County,13063, 646
Dougherty County,13065, 647
Douglas County,13067, 648
Early County,13067, 649
Echols County,13067, 650
Effingham County,13067, 651
Elbert County,13067, 652
Emanuel County,13067, 653
Evans County,13067, 654
Fannin County,13067, 655
Fayette County,13069, 656
Floyd County,13071, 657
Forsyth County,13073, 658
Franklin County,13073, 659
Fulton County,13075, 660
Gilmer County,13075, 661
Glascock County,13075, 662
Glynn County,13077, 663
Gordon County,13077, 664
Grady County,13077, 665
Greene County,13077, 666
Gwinnett County,13079, 667
Habersham County,13081, 668
Hall County,13083, 669
Hancock County,13085, 670
Haralson County,13087, 671
Harris County,13087, 672
Hart County,13089, 673
Heard County,13089, 674
Henry County,13089, 675
Houston County,13089, 676
Irwin County,13089, 677
Jackson County,13089, 678
Jasper County,13089, 679
Jeff Davis County,13089, 680
Jefferson County,13091, 681
Jenkins County,13093, 682
Johnson County,13095, 683
Jones County,13097, 684
Lamar County,13097, 685
Lanier County,13097, 686
Laurens County,13099, 687
Lee County,13101, 688
Liberty County,13103, 689
Lincoln County,13105, 690
Long County,13107, 691
Lowndes County,13109, 692
Lumpkin County,13111, 693
Macon County,13113, 694
Madison County,13113, 695
Marion County,13113, 696
McDuffie County,13115, 697
McIntosh County,13115, 698
Meriwether County,13115, 699
Miller County,13117, 700
Mitchell County,13119, 701
Monroe County,13121, 702
Montgomery County,13121, 703
Morgan County,13121, 704
Murray County,13121, 705
Muscogee County,13121, 706
Newton County,13121, 707
Oconee County,13121, 708
Oglethorpe County,13121, 709
Paulding County,13121, 710
Peach County,13121, 711
Pickens County,13121, 712
Pierce County,13121, 713
Pike County,13121, 714
Polk County,13121, 715
Pulaski County,13121, 716
Putnam County,13121, 717
Quitman County,13121, 718
Rabun County,13121, 719
Randolph County,13121, 720
Richmond County,13123, 721
Rockdale County,13123, 722
Schley County,13125, 723
Screven County,13127, 724
Seminole County,13127, 725
Spalding County,13129,N/A
Stephens County,13129, 727
Stewart County,13131, 728
Sumter County,13133, 729
Talbot County,13135, 730
Taliaferro County,13135, 731
Tattnall County,13135, 732
Taylor County,13135, 733
Telfair County,13135, 734
Terrell County,13135, 735
Thomas County,13137, 736
Tift County,13139, 737
Toombs County,13139, 738
Towns County,13141, 739
Treutlen County,13143, 740
Troup County,13143, 741
Turner County,13145, 742
Twiggs County,13147, 743
Union County,13149, 744
Upson County,13151,#N/A
Walker County,13151, 746
Walton County,13153, 747
Ware County,13153, 748
Warren County,13155, 749
Washington County,13157, 750
Wayne County,13157, 751
Webster County,13157, 752
Wheeler County,13159, 753
White County,13161, 754
Whitfield County,13163, 755
Wilcox County,13165, 756
Wilkes County,13167, 757
Wilkinson County,13169, 758
Worth County,13171, 759
